state,month,totalCovid,totalDeath,totalHospitalized
Hawaii,20-Jul,1089,8,66
Hawaii,20-Aug,6350,37,328
Hawaii,20-Sep,4130,69,327
Hawaii,20-Oct,2747,84,265
Hawaii,20-Nov,3007,28,190
Hawaii,20-Dec,3609,44,481
Iowa,20-Jan,28385,1010,0
Iowa,20-Feb,12481,570,0
Iowa,20-Mar,2842,94,94
Iowa,20-Apr,6648,155,-94
Iowa,20-May,12407,372,0
Iowa,20-Jun,9455,181,0
Iowa,20-Jul,15575,152,0
Iowa,20-Aug,18746,249,0
Iowa,20-Sep,22268,228,0
Iowa,20-Oct,34159,372,0
Iowa,20-Nov,82655,687,0
Iowa,20-Dec,36763,1488,0
Idaho,20-Jan,22819,322,1107
Idaho,20-Feb,8457,135,402
Idaho,20-Mar,2205,26,153
Idaho,20-Apr,1570,53,130
Idaho,20-May,855,22,67
Idaho,20-Jun,2913,9,80
Idaho,20-Jul,14494,86,513
Idaho,20-Aug,11621,182,534
Idaho,20-Sep,9567,105,478
Idaho,20-Oct,22376,162,725
Idaho,20-Nov,36674,294,1406
Idaho,20-Dec,39380,483,1589
Illinois,20-Jan,162912,3275,0
Illinois,20-Feb,60395,1482,0
Illinois,20-Mar,17629,378,0
Illinois,20-Apr,46924,2256,0
Illinois,20-May,67342,3035,0
Illinois,20-Jun,23978,1734,0
Illinois,20-Jul,35880,568,0
Illinois,20-Aug,56607,543,0
Illinois,20-Sep,59038,681,0
Illinois,20-Oct,120796,1134,0
Illinois,20-Nov,309745,2935,0
Illinois,20-Dec,237085,4993,0
Indiana,20-Jan,115197,1711,5349
Indiana,20-Feb,34991,2599,2427
Indiana,20-Mar,7748,213,442
Indiana,20-Apr,15676,1065,0
Indiana,20-May,16739,1020,5285
Indiana,20-Jun,11020,506,1780
Indiana,20-Jul,20560,325,1662
Indiana,20-Aug,28042,331,2316
Indiana,20-Sep,25823,336,1771
Indiana,20-Oct,59339,700,4033
Indiana,20-Nov,159619,1391,9171
Indiana,20-Dec,172508,2540,8981
Kansas,20-Jan,52252,1038,1657
Kansas,20-Feb,18978,956,832
Kansas,20-Mar,2626,86,217
Kansas,20-Apr,3810,120,444
Kansas,20-May,5481,79,319
Kansas,20-Jun,4724,62,310
Kansas,20-Jul,13369,88,599
Kansas,20-Aug,14800,88,553
Kansas,20-Sep,17137,232,613
Kansas,20-Oct,25432,351,915
Kansas,20-Nov,72265,531,1273
Kansas,20-Dec,64987,1181,1655
Kentucky,20-Jan,97628,1122,3199
Kentucky,20-Feb,41732,892,2414
Kentucky,20-Mar,6567,193,356
Kentucky,20-Apr,4059,224,1359
Kentucky,20-May,5165,196,913
Kentucky,20-Jun,5920,134,349
Kentucky,20-Jul,14527,170,693
Kentucky,20-Aug,18245,198,1266
Kentucky,20-Sep,20444,241,699
Kentucky,20-Oct,38379,311,1931
Kentucky,20-Nov,71822,423,2844
Kentucky,20-Dec,86221,715,3434
Louisiana,20-Jan,85351,1371,0
Louisiana,20-Feb,29474,749,0
Louisiana,20-Mar,8922,379,0
Louisiana,20-Apr,22764,1666,0
Louisiana,20-May,11915,886,0
Louisiana,20-Jun,18179,430,0
Louisiana,20-Jul,58185,728,0
Louisiana,20-Aug,32614,1001,0
Louisiana,20-Sep,18564,561,0
Louisiana,20-Oct,19191,408,0
Louisiana,20-Nov,45765,501,0
Louisiana,20-Dec,82861,1068,0
Massachusetts,20-Jan,148847,2154,1910
Massachusetts,20-Feb,57123,1541,1436
Massachusetts,20-Mar,16828,452,831
Massachusetts,20-Apr,55585,3409,5380
Massachusetts,20-May,34760,3284,3881
Massachusetts,20-Jun,11917,1208,1514
Massachusetts,20-Jul,8730,555,571
Massachusetts,20-Aug,10921,451,456
Massachusetts,20-Sep,3583,396,322
Massachusetts,20-Oct,26460,535,600
Massachusetts,20-Nov,67556,757,853
Massachusetts,20-Dec,149046,1675,1959
Maryland,20-Jan,77811,1232,5419
Maryland,20-Feb,27626,742,2945
Maryland,20-Mar,6880,129,1080
Maryland,20-Apr,20082,1183,4130
Maryland,20-May,31036,1370,4179
Maryland,20-Jun,14781,594,2106
Maryland,20-Jul,20787,303,1749
Maryland,20-Aug,19903,262,1710
Maryland,20-Sep,16476,194,1227
Maryland,20-Oct,20556,198,1563
Maryland,20-Nov,53089,494,3958
Maryland,20-Dec,78292,1254,5585
Maine,20-Jan,15123,243,325
Maine,20-Feb,5310,113,137
Maine,20-Mar,1463,8,100
Maine,20-Apr,792,48,113
Maine,20-May,1230,36,113
Maine,20-Jun,928,16,65
Maine,20-Jul,659,18,40
Maine,20-Aug,614,9,32
Maine,20-Sep,865,9,29
Maine,20-Oct,1277,6,37
Maine,20-Nov,5089,47,213
Maine,20-Dec,12444,153,366
Michigan,20-Jan,81517,2507,0
Michigan,20-Feb,35412,983,0
Michigan,20-Mar,29162,701,0
Michigan,20-Apr,28851,3883,0
Michigan,20-May,16063,1384,0
Michigan,20-Jun,7160,375,0
Michigan,20-Jul,19846,257,0
Michigan,20-Aug,22451,303,0
Michigan,20-Sep,24989,330,0
Michigan,20-Oct,59392,616,0
Michigan,20-Nov,191536,1865,0
Michigan,20-Dec,139679,3454,0
Minnesota,20-Jan,46505,877,2444
Minnesota,20-Feb,22787,283,1411
Minnesota,20-Mar,6332,79,371
Minnesota,20-Apr,7200,331,932
Minnesota,20-May,18206,707,2003
Minnesota,20-Jun,9981,426,1007
Minnesota,20-Jul,18160,164,1101
Minnesota,20-Aug,21401,226,1325
Minnesota,20-Sep,23270,223,1221
Minnesota,20-Oct,49338,368,2569
Minnesota,20-Nov,170291,1136,6521
Minnesota,20-Dec,96539,1730,5073
Missouri,20-Jan,66249,1229,0
Missouri,20-Feb,19405,1171,0
Missouri,20-Mar,3746,256,0
Missouri,20-Apr,6235,315,0
Missouri,20-May,5585,443,0
Missouri,20-Jun,8404,243,0
Missouri,20-Jul,28772,228,0
Missouri,20-Aug,34374,287,0
Missouri,20-Sep,41416,588,0
Missouri,20-Oct,57073,906,0
Missouri,20-Nov,116576,805,0
Missouri,20-Dec,92808,1690,0
Northern Mariana Islands,20-Jan,10,0,0
Northern Mariana Islands,20-Feb,11,0,0
Northern Mariana Islands,20-Mar,4,1,0
Northern Mariana Islands,20-Apr,12,1,0
Northern Mariana Islands,20-May,8,0,0
Northern Mariana Islands,20-Jun,8,0,0
Northern Mariana Islands,20-Jul,12,0,4
Northern Mariana Islands,20-Aug,14,0,0
Northern Mariana Islands,20-Sep,14,0,0
Northern Mariana Islands,20-Oct,22,0,0
Northern Mariana Islands,20-Nov,14,0,0
Northern Mariana Islands,20-Dec,16,0,0
Mississippi,20-Jan,59190,1258,502
Mississippi,20-Feb,19794,636,365
Mississippi,20-Mar,3723,147,361
Mississippi,20-Apr,5878,241,964
Mississippi,20-May,8686,473,1097
Mississippi,20-Jun,11746,339,884
Mississippi,20-Jul,31500,590,1120
Mississippi,20-Aug,24203,810,1050
Mississippi,20-Sep,15240,496,518
Mississippi,20-Oct,21970,365,732
Mississippi,20-Nov,33110,473,910
Mississippi,20-Dec,62541,980,659
Montana,20-Jan,12394,272,677
Montana,20-Feb,6005,124,336
Montana,20-Mar,1144,28,63
Montana,20-Apr,269,12,47
Montana,20-May,62,1,6
Montana,20-Jun,452,5,34
Montana,20-Jul,2998,38,129
Montana,20-Aug,3456,44,206
Montana,20-Sep,5650,76,281
Montana,20-Oct,19730,195,633
Montana,20-Nov,29397,306,1272
Montana,20-Dec,19357,280,946
North Carolina,20-Jan,217981,2587,0
North Carolina,20-Feb,101022,1877,0
North Carolina,20-Mar,15125,298,0
North Carolina,20-Apr,9011,370,0
North Carolina,20-May,18080,508,0
North Carolina,20-Jun,36081,457,0
North Carolina,20-Jul,57478,581,0
North Carolina,20-Aug,45165,778,0
North Carolina,20-Sep,43319,830,0
North Carolina,20-Oct,64003,846,0
North Carolina,20-Nov,89877,883,0
North Carolina,20-Dec,175033,1487,0
North Dakota,20-Jan,5135,153,228
North Dakota,20-Feb,2179,30,87
North Dakota,20-Mar,699,9,34
North Dakota,20-Apr,950,16,64
North Dakota,20-May,1507,45,82
North Dakota,20-Jun,998,24,64
North Dakota,20-Jul,2882,19,133
North Dakota,20-Aug,5336,40,190
North Dakota,20-Sep,10013,102,305
North Dakota,20-Oct,22391,280,759
North Dakota,20-Nov,36485,404,1090
North Dakota,20-Dec,11816,356,844
Nebraska,20-Jan,25416,309,584
Nebraska,20-Feb,10135,162,298
Nebraska,20-Mar,2350,34,135
Nebraska,20-Apr,3612,65,0
Nebraska,20-May,10121,102,0
Nebraska,20-Jun,5137,99,1330
Nebraska,20-Jul,6724,59,280
Nebraska,20-Aug,8280,64,384
Nebraska,20-Sep,10998,86,321
Nebraska,20-Oct,24601,168,718
Nebraska,20-Nov,56821,343,1244
Nebraska,20-Dec,38831,622,943
New Hampshire,20-Jan,21667,298,135
New Hampshire,20-Feb,9729,113,81
New Hampshire,20-Mar,1802,17,62
New Hampshire,20-Apr,1779,69,213
New Hampshire,20-May,2505,173,189
New Hampshire,20-Jun,1131,126,114
New Hampshire,20-Jul,801,44,128
New Hampshire,20-Aug,692,17,21
New Hampshire,20-Sep,991,7,24
New Hampshire,20-Oct,2818,44,41
New Hampshire,20-Nov,9910,43,60
New Hampshire,20-Dec,23034,233,63
New Jersey,20-Jan,169844,2442,13218
New Jersey,20-Feb,92527,1768,3169
New Jersey,20-Mar,41949,686,683
New Jersey,20-Apr,99956,8300,0
New Jersey,20-May,42152,4748,17197
New Jersey,20-Jun,11833,1532,2650
New Jersey,20-Jul,11264,775,1718
New Jersey,20-Aug,11504,228,1062
New Jersey,20-Sep,15053,175,812
New Jersey,20-Oct,39055,228,14249
New Jersey,20-Nov,117385,643,3525
New Jersey,20-Dec,160087,2049,6113
New Mexico,20-Jan,31200,806,2386
New Mexico,20-Feb,11068,433,1033
New Mexico,20-Mar,2071,97,144
New Mexico,20-Apr,3130,118,536
New Mexico,20-May,4278,233,781
New Mexico,20-Jun,4458,141,585
New Mexico,20-Jul,8453,145,784
New Mexico,20-Aug,4752,137,448
New Mexico,20-Sep,4083,98,361
New Mexico,20-Oct,17055,141,1122
New Mexico,20-Nov,50605,550,2165
New Mexico,20-Dec,45769,909,2907
Nevada,20-Jan,53577,1145,0
Nevada,20-Feb,15446,687,0
Nevada,20-Mar,3548,117,0
Nevada,20-Apr,3885,232,0
Nevada,20-May,3595,175,0
Nevada,20-Jun,9863,63,0
Nevada,20-Jul,29632,323,0
Nevada,20-Aug,21140,475,0
Nevada,20-Sep,10752,295,0
Nevada,20-Oct,20783,177,0
Nevada,20-Nov,51406,367,0
Nevada,20-Dec,72562,981,0
New York,20-Jan,436442,5138,0
New York,20-Feb,219789,3319,0
New York,20-Mar,126519,2082,0
New York,20-Apr,228577,16771,0
New York,20-May,66398,5584,0
New York,20-Jun,22684,950,0
New York,20-Jul,21560,295,0
New York,20-Aug,19742,178,0
New York,20-Sep,23893,151,0
New York,20-Oct,48831,328,0
New York,20-Nov,140500,940,0
New York,20-Dec,326234,3293,0
Ohio,20-Jan,195412,2213,7881
Ohio,20-Feb,71630,6122,4064
Ohio,20-Mar,13248,414,1187
Ohio,20-Apr,15828,920,2948
Ohio,20-May,17486,1180,2516
Ohio,20-Jun,16276,708,1790
Ohio,20-Jul,39370,626,2951
Ohio,20-Aug,31998,649,2586
Ohio,20-Sep,30830,666,2140
Ohio,20-Oct,61710,497,3616
Ohio,20-Nov,205366,1128,7732
Ohio,20-Dec,279317,2533,11470
Oklahoma,20-Jan,98536,1058,4862
Oklahoma,20-Feb,35036,881,2064
Oklahoma,20-Mar,5053,129,524
Oklahoma,20-Apr,3053,199,526
Oklahoma,20-May,2888,112,282
Oklahoma,20-Jun,7251,53,535
Oklahoma,20-Jul,22730,154,1641
Oklahoma,20-Aug,22246,259,1660
Oklahoma,20-Sep,28466,231,1628
Oklahoma,20-Oct,35563,306,2440
Oklahoma,20-Nov,74983,406,3369
Oklahoma,20-Dec,93191,746,4801
Oregon,20-Jan,30156,489,1283
Oregon,20-Feb,12899,251,832
Oregon,20-Mar,2370,104,284
Oregon,20-Apr,1840,85,429
Oregon,20-May,1739,52,209
Oregon,20-Jun,4300,51,247
Oregon,20-Jul,9646,112,562
Oregon,20-Aug,8423,142,521
Oregon,20-Sep,6737,97,450
Oregon,20-Oct,11097,120,646
Oregon,20-Nov,29732,230,1139
Oregon,20-Dec,38140,563,2112
Pennsylvania,20-Jan,202899,5683,0
Pennsylvania,20-Feb,88418,2360,0
Pennsylvania,20-Mar,21844,391,514
Pennsylvania,20-Apr,40920,2229,-514
Pennsylvania,20-May,26783,3263,0
Pennsylvania,20-Jun,14060,1094,0
Pennsylvania,20-Jul,25442,540,0
Pennsylvania,20-Aug,21977,484,0
Pennsylvania,20-Sep,24942,469,0
Pennsylvania,20-Oct,49060,670,0
Pennsylvania,20-Nov,153437,1571,0
Pennsylvania,20-Dec,278861,5595,0
Puerto Rico,20-Jan,17333,326,0
Puerto Rico,20-Feb,6673,207,0
Puerto Rico,20-Mar,1569,34,0
Puerto Rico,20-Apr,716,84,0
Puerto Rico,20-May,349,44,0
Puerto Rico,20-Jun,389,17,0
