State ,Oct 2019,Nov 2019,Dec 2019,Jan 2020,Feb 2020,Mar 2020,Apr 2020,May 2020,Jun 2020,Jul 2020,Aug 2020,Sep 2020,Oct 2020,Nov 2020,Dec 2020,Jan 2021,Feb 2021,Mar 2021,Apr 2021,May 2021,Jun 2021,Jul 2021,Aug 2021,Sep 2021
Minnesota,"398,706","393,885","392,140","391,756","391,164","391,236","430,692","442,567","445,309","434,640","427,558","451,755","453,361","453,162","460,852","469,979","477,650","479,856","480,775","464,770","465,353","452,449",--,--
Ohio,"1,380,490","1,374,527","1,373,772","1,377,403","1,365,936","1,374,108","1,382,485","1,390,914","1,403,021","1,538,558","1,399,895","1,401,212","1,498,880","1,464,612","1,456,030","1,536,645","1,532,847","1,535,731","1,535,325","1,539,008","1,542,770","1,497,379",--,--
Wisconsin,"606,036","602,506","600,206","600,864","600,269","607,188","668,008","696,751","689,684","687,380","702,042","707,583","703,029","721,732","738,300","757,139","757,280","769,699","789,604","790,292","790,890","788,566",--,--
Arizona,"795,313","784,993","776,402","782,194","782,903","790,961","843,738","879,292","890,285","898,875","915,512","860,912","842,358","816,014","842,716","884,716","907,158","920,868","933,819","954,765","917,398","875,323",--,--
Arkansas,"350,447","348,052","348,050","343,435","339,463","337,151","381,027","387,379","405,518","686,363","398,219","391,984","377,077","359,966","351,931","347,714","348,755","351,316","342,068","333,362","332,663","352,201",--,--
Louisiana,"804,561","795,739","790,742","778,279","781,763","774,468","812,957","845,228","852,164","861,262","858,903","1,012,935","988,329","975,770","961,545","987,599","1,007,436","922,784","882,910","857,954","872,619","843,966",--,--
New Mexico,"449,792","447,512","446,408","445,908","445,238","447,420","481,136","489,749","493,796","492,781","493,689","491,512","475,470","492,885","507,084","515,088","520,661","526,461","527,725","527,763","531,154","535,639",--,--
Oklahoma,"579,618","578,555","574,039","573,669","572,497","569,566","612,779","610,419","612,074","625,399","625,551","626,298","624,588","615,621","611,487","608,484","608,510","612,931","607,815","614,778","628,127","622,337",--,--
Texas,"3,348,300","3,280,049","3,247,148","3,231,991","3,162,216","3,214,013","3,632,605","3,877,726","3,884,584","3,870,588","3,900,408","3,962,503","3,747,996","3,674,212","3,644,422","3,514,348","3,396,209","3,392,447","3,499,514","3,436,958","3,159,949","3,136,496",--,--
Utah,"165,374","164,587","163,533","163,926","164,518","163,895","172,489","162,295","156,331","153,492","176,700","161,348","165,353","166,030","167,695","168,705","163,367","163,823","163,361","160,205","158,535","158,419",--,--
Colorado,"439,390","435,937","437,241","434,142","431,397","439,355","507,074","524,084","539,331","551,936","534,175","523,098","506,102","476,756","497,997","499,164","507,441","512,057","517,146","522,550","513,617","596,750",--,--
Kansas,"198,426","197,186","195,064","190,300","189,765","189,527","201,869","209,302","213,387","207,916","207,124","205,451","200,686","199,125","201,120","201,980","203,800","203,215","200,394","200,014","201,554","198,343",--,--
Missouri,"678,388","673,160","663,517","658,410","657,317","660,628","752,315","766,227","773,079","777,885","771,906","752,531","726,067","696,615","702,463","692,593","699,811","712,239","693,263","691,375","695,200","698,864",--,--
Montana,"105,667","105,487","105,269","105,487","105,578","105,265","108,458","110,178","109,497","110,122","85,636","96,042","104,666","102,800","89,896","98,125","99,219","98,765","98,500","97,328","96,955","95,525",--,--
Nebraska,"157,978","155,532","154,534","153,187","152,869","153,889","165,801","170,724","166,820","146,636","153,128","153,996","156,420","156,041","159,842","158,109","160,238","159,315","157,698","156,353","154,736","156,493",--,--
North Dakota,"48,243","47,484","47,432","47,804","47,673","48,059","51,483","49,295","29,525","44,647","44,731","46,731","48,341","49,663","50,969","51,432","51,096","51,264","50,707","53,441","49,463","49,598",--,--
South Dakota,"78,854","78,286","77,863","78,134","78,006","77,302","79,148","79,205","77,981","77,526","78,149","78,491","77,417","76,639","76,303","75,925","76,089","75,079","74,061","73,265","73,238","73,168",--,--
Wyoming,"25,564","25,465","25,801","25,915","25,797","26,795","27,989","27,768","27,987","27,413","28,572","28,072","28,538","21,466","30,038","30,038","30,661","30,480","29,916","29,880","29,666","29,489",--,--
Alaska,"73,130","81,320","81,225","79,830","80,157","80,824","85,150","86,952","87,803","87,331","88,597","86,007","83,505","79,250","73,899","72,892","78,146","81,602","83,637","85,479","87,053","88,538",--,--
California,"4,040,645","4,042,531","4,059,554","4,043,672","4,031,055","4,041,711","4,451,007","4,637,893","4,775,267","4,564,117","4,519,289","4,537,280","4,375,694","4,245,238","4,234,649","4,368,759","4,451,404","4,309,750","4,291,627","4,259,446","4,237,518","4,412,673",--,--
Guam,"43,506","42,584","42,109","41,477","40,989","40,380","43,862","47,266","47,031","47,388","46,286","45,615","42,920","42,920","39,730","39,625","40,375","39,530","38,359","38,685","39,055","38,072",--,--
Hawaii,"155,061","154,517","154,377","153,634","152,252","153,047","171,451","177,569","180,301","176,519","177,083","179,205","177,792","184,713","189,285","193,761","197,958","201,193","202,822","203,885","205,282","206,226",--,--
Idaho,"142,199","142,817","143,833","146,233","147,759","148,022","152,412","151,239","152,881","146,807","143,926","139,833","136,037","135,458","137,970","135,957","135,439","134,259","131,308","129,650","130,227","129,667",--,--
Nevada,"419,832","416,996","414,564","414,058","412,342","426,527","497,313","511,818","465,469","465,536","468,945","470,857","483,693","477,920","442,157","464,298","482,335","477,172","448,863","427,799","428,387","426,535",--,--
Oregon,"584,077","581,564","581,511","581,867","581,288","601,101","665,156","681,125","692,588","702,882","701,881","670,776","661,328","685,767","705,101","717,568","754,336","754,221","715,336","725,771","712,595","710,736",--,--
Washington,"802,305","797,097","793,616","796,876","797,442","797,246","960,064","929,111","929,624","940,841","956,647","951,090","936,301","929,584","960,448","976,504","1,016,987","961,819","953,349","914,078","894,680","883,293",--,--
USA,"37,652,952","37,464,569","37,243,840","37,100,836","36,867,839","37,208,099","41,023,637","42,756,740","43,021,857","42,868,190","42,463,589","42,952,183","41,962,931","41,447,637","41,213,284","41,977,124","42,056,728","41,703,475","42,300,863","42,081,138","42,324,310","41,309,298",--,--
